"Tabela 4092 - Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ocupação"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Condição em relação à força de trabalho e condição de ocupação"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2012";;;;"2º trimestre 2012";;;;"3º trimestre 2012";;;;"4º trimestre 2012";;;;"1º trimestre 2013";;;;"2º trimestre 2013";;;;"3º trimestre 2013";;;;"4º trimestre 2013";;;;"1º trimestre 2014";;;;"2º trimestre 2014";;;;"3º trimestre 2014";;;;"4º trimestre 2014";;;;"1º trimestre 2015";;;;"2º trimestre 2015";;;;"3º trimestre 2015";;;;"4º trimestre 2015";;;;"1º trimestre 2016";;;;"2º trimestre 2016";;;;"3º trimestre 2016";;;;"4º trimestre 2016";;;;"1º trimestre 2017";;;;"2º trimestre 2017";;;;"3º trimestre 2017";;;;"4º trimestre 2017";;;;"1º trimestre 2018";;;;"2º trimestre 2018";;;;"3º trimestre 2018";;;;"4º trimestre 2018";;;;"1º trimestre 2019";;;;"2º trimestre 2019";;;;"3º trimestre 2019";;;;"4º trimestre 2019";;;;"1º trimestre 2020";;;;"2º trimestre 2020";;;;"3º trimestre 2020"
"Brasil, Grande Região e Unidade da Federação";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada";"Total";"Força de trabalho";"Força de trabalho - ocupada";"Força de trabalho - desocupada"
"Pará";"5651";"3390";"3123";"268";"5689";"3570";"3294";"276";"5703";"3504";"3255";"248";"5762";"3570";"3328";"242";"5819";"3625";"3343";"282";"5836";"3602";"3329";"273";"5902";"3568";"3295";"273";"5912";"3587";"3372";"215";"5949";"3647";"3369";"278";"5968";"3652";"3395";"257";"6020";"3667";"3403";"264";"6049";"3655";"3400";"256";"6049";"3745";"3401";"344";"6086";"3745";"3410";"335";"6118";"3800";"3479";"320";"6166";"3816";"3487";"329";"6214";"3822";"3439";"384";"6258";"3770";"3360";"410";"6268";"3741";"3331";"411";"6316";"3806";"3324";"482";"6351";"3733";"3217";"516";"6378";"3784";"3353";"431";"6446";"3881";"3449";"432";"6463";"3907";"3491";"416";"6466";"3786";"3325";"461";"6502";"3846";"3416";"430";"6521";"3847";"3427";"420";"6549";"3868";"3474";"394";"6559";"3841";"3400";"441";"6558";"3840";"3411";"429";"6604";"3906";"3470";"437";"6640";"3876";"3521";"356";"6643";"3881";"3469";"413";"6748";"3571";"3247";"324";"6784";"3720";"3315";"405"
"Amapá";"493";"319";"279";"40";"501";"316";"270";"46";"513";"329";"283";"46";"514";"328";"289";"39";"525";"318";"281";"36";"536";"324";"278";"46";"536";"329";"293";"36";"547";"335";"304";"31";"552";"338";"300";"38";"544";"343";"309";"34";"554";"350";"313";"37";"551";"346";"313";"33";"551";"339";"306";"33";"550";"341";"307";"34";"554";"347";"306";"41";"557";"354";"309";"45";"561";"344";"295";"49";"567";"353";"297";"56";"577";"353";"300";"52";"587";"362";"301";"61";"596";"363";"296";"67";"598";"363";"301";"62";"607";"370";"308";"61";"605";"371";"301";"69";"607";"373";"293";"80";"613";"371";"292";"79";"624";"384";"314";"70";"624";"378";"304";"74";"622";"384";"307";"77";"640";"404";"336";"68";"632";"392";"326";"66";"628";"394";"332";"61";"637";"389";"322";"67";"650";"346";"306";"40";"662";"356";"302";"54"
"Tocantins";"1058";"652";"597";"55";"1067";"652";"602";"50";"1063";"649";"603";"47";"1080";"671";"620";"51";"1081";"654";"593";"61";"1090";"656";"602";"54";"1087";"647";"607";"40";"1099";"654";"612";"42";"1104";"674";"616";"57";"1116";"678";"626";"52";"1129";"690";"638";"52";"1117";"675";"633";"43";"1126";"673";"615";"59";"1127";"675";"623";"51";"1119";"676";"614";"62";"1134";"676";"615";"61";"1144";"685";"612";"73";"1160";"696";"618";"78";"1156";"680";"607";"73";"1168";"696";"605";"91";"1176";"688";"602";"87";"1184";"680";"601";"80";"1196";"669";"590";"79";"1201";"698";"625";"73";"1205";"701";"623";"77";"1216";"709";"629";"80";"1224";"708";"639";"69";"1222";"725";"649";"75";"1213";"716";"627";"88";"1223";"723";"640";"83";"1234";"721";"646";"76";"1242";"716";"651";"65";"1253";"721";"640";"81";"1251";"687";"601";"86";"1246";"671";"589";"82"
"Maranhão";"4890";"2720";"2505";"215";"4907";"2743";"2494";"249";"4912";"2747";"2536";"210";"4939";"2710";"2507";"203";"4956";"2722";"2468";"254";"4950";"2687";"2438";"248";"4953";"2658";"2461";"196";"4989";"2726";"2576";"150";"5031";"2788";"2610";"177";"5025";"2810";"2609";"201";"5039";"2818";"2629";"188";"5056";"2835";"2636";"199";"5076";"2861";"2606";"255";"5075";"2854";"2603";"250";"5114";"2891";"2647";"244";"5118";"2870";"2635";"236";"5152";"2887";"2575";"312";"5160";"2775";"2447";"328";"5186";"2688";"2369";"319";"5202";"2716";"2364";"352";"5208";"2753";"2341";"412";"5230";"2691";"2298";"393";"5264";"2771";"2373";"398";"5282";"2703";"2344";"359";"5295";"2675";"2258";"417";"5324";"2593";"2221";"371";"5324";"2620";"2260";"360";"5352";"2639";"2268";"371";"5378";"2578";"2158";"420";"5403";"2611";"2231";"380";"5413";"2639";"2266";"373";"5432";"2644";"2323";"321";"5467";"2636";"2211";"424";"5506";"2378";"1996";"381";"5498";"2410";"2004";"406"
"Piauí";"2460";"1423";"1314";"109";"2482";"1423";"1324";"99";"2494";"1440";"1352";"88";"2508";"1447";"1347";"100";"2502";"1452";"1332";"121";"2514";"1467";"1358";"110";"2513";"1449";"1341";"108";"2517";"1478";"1375";"103";"2501";"1519";"1412";"107";"2523";"1512";"1406";"106";"2529";"1508";"1416";"92";"2535";"1490";"1402";"88";"2537";"1495";"1380";"115";"2554";"1517";"1401";"116";"2554";"1513";"1398";"115";"2567";"1492";"1384";"107";"2571";"1473";"1332";"141";"2571";"1448";"1305";"143";"2578";"1435";"1300";"135";"2589";"1406";"1282";"124";"2574";"1406";"1229";"177";"2589";"1439";"1244";"195";"2587";"1446";"1272";"174";"2581";"1429";"1239";"190";"2590";"1394";"1210";"184";"2596";"1427";"1236";"190";"2597";"1453";"1274";"179";"2608";"1456";"1278";"178";"2608";"1449";"1264";"184";"2601";"1460";"1273";"186";"2625";"1531";"1336";"195";"2632";"1494";"1300";"195";"2607";"1427";"1232";"195";"2654";"1207";"1054";"153";"2682";"1305";"1137";"167"
"Ceará";"6766";"3746";"3475";"271";"6762";"3723";"3420";"303";"6769";"3665";"3371";"294";"6796";"3611";"3340";"270";"6809";"3632";"3311";"320";"6830";"3699";"3389";"310";"6880";"3687";"3423";"264";"6916";"3756";"3499";"257";"6945";"3778";"3481";"297";"6982";"3833";"3546";"287";"7018";"3817";"3535";"283";"7003";"3734";"3488";"246";"7016";"3719";"3422";"297";"7026";"3765";"3434";"332";"7019";"3810";"3446";"363";"7040";"3776";"3436";"340";"7070";"3741";"3338";"403";"7114";"3913";"3465";"448";"7140";"3903";"3394";"510";"7174";"3899";"3415";"484";"7212";"3933";"3373";"560";"7244";"3922";"3403";"519";"7256";"3956";"3491";"465";"7265";"4081";"3630";"451";"7267";"4063";"3541";"522";"7331";"4026";"3555";"472";"7336";"4102";"3666";"436";"7313";"4087";"3675";"412";"7343";"4087";"3620";"467";"7336";"4128";"3679";"449";"7356";"4142";"3675";"467";"7410";"4185";"3763";"423";"7447";"4106";"3609";"496";"7485";"3569";"3138";"431";"7534";"3569";"3068";"502"
"Rio Grande do Norte";"2571";"1361";"1205";"156";"2574";"1441";"1279";"162";"2574";"1444";"1281";"163";"2579";"1434";"1268";"165";"2583";"1417";"1246";"171";"2590";"1418";"1266";"152";"2610";"1446";"1300";"146";"2624";"1478";"1334";"144";"2657";"1497";"1322";"175";"2680";"1493";"1321";"172";"2678";"1473";"1318";"155";"2686";"1477";"1324";"153";"2711";"1500";"1328";"172";"2691";"1511";"1337";"175";"2705";"1544";"1349";"195";"2726";"1521";"1336";"185";"2737";"1491";"1277";"214";"2767";"1508";"1305";"203";"2781";"1511";"1298";"213";"2793";"1508";"1287";"221";"2789";"1506";"1260";"246";"2790";"1504";"1269";"235";"2793";"1504";"1298";"206";"2809";"1491";"1308";"183";"2810";"1499";"1276";"224";"2820";"1505";"1308";"198";"2829";"1556";"1357";"199";"2839";"1532";"1327";"205";"2820";"1509";"1300";"209";"2841";"1522";"1331";"191";"2813";"1525";"1321";"204";"2826";"1513";"1322";"191";"2836";"1540";"1303";"237";"2902";"1344";"1142";"202";"2879";"1375";"1137";"238"
"Paraíba";"2997";"1663";"1499";"164";"2985";"1677";"1521";"156";"2975";"1656";"1516";"140";"2990";"1641";"1492";"148";"3004";"1637";"1483";"154";"2990";"1676";"1527";"149";"3010";"1655";"1515";"140";"3009";"1681";"1540";"141";"3011";"1691";"1534";"157";"3029";"1703";"1554";"149";"3041";"1705";"1548";"157";"3043";"1705";"1567";"138";"3055";"1743";"1583";"159";"3072";"1732";"1575";"157";"3085";"1742";"1563";"179";"3093";"1718";"1555";"163";"3112";"1698";"1527";"170";"3126";"1671";"1492";"179";"3139";"1652";"1441";"211";"3144";"1652";"1455";"197";"3149";"1647";"1429";"217";"3166";"1678";"1486";"192";"3167";"1702";"1519";"183";"3179";"1703";"1532";"171";"3170";"1694";"1495";"199";"3195";"1686";"1501";"185";"3199";"1716";"1532";"184";"3201";"1711";"1524";"188";"3199";"1674";"1488";"186";"3218";"1683";"1482";"201";"3228";"1679";"1491";"189";"3227";"1676";"1473";"202";"3218";"1656";"1428";"228";"3232";"1477";"1288";"189";"3267";"1492";"1241";"251"
"Pernambuco";"7034";"3911";"3537";"374";"7032";"3825";"3512";"313";"7075";"3940";"3575";"365";"7129";"3872";"3517";"355";"7119";"3824";"3419";"405";"7150";"3816";"3450";"366";"7181";"3873";"3548";"325";"7218";"3922";"3635";"287";"7220";"3875";"3535";"340";"7251";"3924";"3613";"311";"7293";"3955";"3626";"329";"7335";"3976";"3674";"302";"7380";"3984";"3659";"325";"7394";"4075";"3705";"370";"7467";"4169";"3702";"467";"7462";"4047";"3601";"446";"7494";"4067";"3528";"540";"7500";"4065";"3498";"567";"7524";"3989";"3377";"612";"7518";"4047";"3415";"632";"7554";"4021";"3333";"687";"7575";"4055";"3291";"764";"7607";"4086";"3355";"731";"7631";"4132";"3436";"696";"7602";"4188";"3445";"743";"7641";"4187";"3480";"707";"7637";"4190";"3489";"701";"7599";"4196";"3548";"648";"7636";"4214";"3536";"678";"7671";"4184";"3513";"671";"7666";"4152";"3494";"658";"7748";"4188";"3601";"586";"7861";"4080";"3488";"593";"7833";"3547";"3014";"533";"7804";"3632";"2948";"684"
"Alagoas";"2418";"1164";"1033";"131";"2411";"1150";"1016";"135";"2440";"1199";"1061";"137";"2457";"1233";"1097";"135";"2460";"1235";"1086";"150";"2456";"1237";"1105";"131";"2453";"1247";"1117";"130";"2458";"1232";"1117";"115";"2466";"1227";"1108";"119";"2471";"1228";"1109";"119";"2491";"1259";"1137";"122";"2510";"1283";"1162";"120";"2515";"1251";"1113";"138";"2521";"1243";"1098";"145";"2537";"1243";"1110";"133";"2547";"1254";"1113";"142";"2555";"1255";"1094";"161";"2567";"1278";"1100";"178";"2583";"1266";"1079";"187";"2590";"1240";"1057";"183";"2603";"1219";"1005";"213";"2610";"1225";"1006";"218";"2618";"1217";"1024";"193";"2621";"1156";"977";"179";"2622";"1129";"929";"200";"2641";"1129";"934";"195";"2632";"1168";"968";"199";"2638";"1172";"986";"186";"2638";"1182";"993";"189";"2644";"1227";"1048";"179";"2655";"1214";"1027";"186";"2642";"1172";"1013";"159";"2628";"1203";"1004";"199";"2631";"1101";"905";"197";"2646";"1114";"892";"222"
"Sergipe";"1617";"945";"848";"97";"1640";"962";"858";"104";"1648";"981";"879";"102";"1670";"1016";"920";"97";"1674";"1001";"887";"115";"1686";"1001";"890";"111";"1684";"1008";"907";"101";"1684";"994";"908";"86";"1685";"1000";"906";"94";"1698";"996";"901";"95";"1706";"1010";"919";"91";"1720";"1031";"939";"92";"1734";"1036";"947";"89";"1749";"1030";"937";"93";"1754";"1016";"929";"87";"1770";"1000";"901";"99";"1783";"1014";"900";"114";"1779";"1023";"894";"129";"1791";"1018";"873";"145";"1800";"1020";"868";"153";"1797";"987";"829";"159";"1803";"1012";"870";"142";"1796";"1006";"869";"137";"1798";"1035";"896";"139";"1791";"1025";"850";"175";"1799";"1015";"844";"171";"1804";"1028";"848";"180";"1828";"1053";"895";"158";"1824";"1053";"890";"163";"1838";"1090";"924";"167";"1842";"1084";"925";"159";"1841";"1112";"948";"165";"1838";"1072";"906";"166";"1867";"992";"796";"196";"1882";"977";"779";"198"
"Bahia";"11133";"6864";"6074";"790";"11134";"6878";"6107";"771";"11214";"6915";"6175";"740";"11207";"6825";"6089";"736";"11216";"6763";"5869";"894";"11216";"6748";"5954";"793";"11280";"6777";"6059";"718";"11324";"6919";"6299";"620";"11307";"6982";"6181";"801";"11381";"6984";"6278";"705";"11414";"6987";"6306";"681";"11504";"7126";"6432";"694";"11524";"7158";"6349";"810";"11567";"7205";"6288";"917";"11556";"7219";"6292";"927";"11562";"7132";"6264";"869";"11563";"7077";"5978";"1099";"11612";"7063";"5976";"1086";"11689";"6959";"5851";"1107";"11757";"7019";"5850";"1168";"11834";"6977";"5682";"1295";"11801";"6992";"5770";"1222";"11860";"6897";"5745";"1152";"11812";"6947";"5905";"1042";"11845";"6896";"5659";"1237";"11881";"6806";"5682";"1124";"11976";"6990";"5860";"1130";"11925";"6964";"5753";"1211";"12009";"7006";"5724";"1282";"12011";"7020";"5805";"1215";"11988";"6971";"5802";"1170";"11989";"6950";"5809";"1141";"12042";"7011";"5700";"1311";"12152";"6085";"4876";"1208";"12324";"6145";"4872";"1273"
"Minas Gerais";"16199";"10068";"9282";"787";"16299";"10371";"9631";"740";"16320";"10320";"9659";"661";"16385";"10244";"9607";"637";"16419";"10181";"9424";"757";"16459";"10437";"9711";"726";"16501";"10399";"9746";"652";"16602";"10327";"9736";"590";"16630";"10337";"9607";"730";"16716";"10391";"9682";"709";"16784";"10356";"9646";"709";"16835";"10413";"9763";"650";"16887";"10453";"9592";"861";"16928";"10578";"9748";"830";"17016";"10741";"9814";"928";"17091";"10704";"9709";"995";"17140";"10699";"9506";"1193";"17192";"10864";"9677";"1188";"17132";"10875";"9656";"1219";"17163";"10867";"9660";"1207";"17177";"10907";"9416";"1491";"17254";"11005";"9665";"1340";"17292";"11063";"9703";"1360";"17374";"11090";"9909";"1181";"17359";"11105";"9703";"1402";"17446";"11181";"9974";"1207";"17436";"11185";"10095";"1089";"17440";"11113";"10040";"1073";"17470";"11071";"9836";"1235";"17569";"11269";"10193";"1077";"17595";"11342";"10219";"1123";"17641";"11314";"10243";"1071";"17690";"11145";"9862";"1283";"17715";"10342";"9004";"1338";"17807";"10433";"9041";"1392"
"Espírito Santo";"2924";"1856";"1715";"142";"2924";"1907";"1768";"138";"2938";"1919";"1787";"133";"2966";"1934";"1805";"129";"2982";"1930";"1780";"150";"2998";"1954";"1805";"149";"3021";"1980";"1838";"142";"3032";"1917";"1803";"113";"3034";"1920";"1799";"121";"3044";"1939";"1813";"126";"3059";"1930";"1818";"112";"3065";"1904";"1788";"115";"3083";"1922";"1789";"133";"3115";"1951";"1821";"129";"3119";"1935";"1777";"158";"3144";"1936";"1760";"176";"3161";"1945";"1730";"215";"3156";"1983";"1755";"228";"3159";"1949";"1701";"248";"3178";"1999";"1727";"272";"3194";"1987";"1700";"287";"3202";"2066";"1790";"276";"3209";"2093";"1821";"272";"3199";"2060";"1821";"239";"3207";"2062";"1803";"258";"3227";"2092";"1840";"252";"3235";"2113";"1875";"237";"3230";"2105";"1890";"215";"3234";"2137";"1878";"260";"3240";"2187";"1947";"239";"3247";"2157";"1930";"228";"3287";"2154";"1932";"222";"3301";"2136";"1898";"238";"3352";"2006";"1759";"247";"3365";"2060";"1774";"286"
"Rio de Janeiro";"13470";"8011";"7330";"681";"13526";"8081";"7481";"600";"13583";"8025";"7431";"594";"13606";"8042";"7498";"543";"13665";"8056";"7474";"582";"13670";"8038";"7483";"555";"13713";"8074";"7523";"550";"13753";"7948";"7459";"489";"13789";"8049";"7512";"537";"13886";"8017";"7501";"516";"13975";"8035";"7542";"492";"14063";"7998";"7536";"462";"14165";"8034";"7508";"526";"14184";"8165";"7578";"587";"14183";"8211";"7535";"676";"14145";"8227";"7525";"702";"14187";"8262";"7435";"827";"14187";"8329";"7381";"948";"14203";"8345";"7335";"1010";"14274";"8457";"7321";"1136";"14366";"8527";"7290";"1237";"14467";"8655";"7301";"1354";"14454";"8738";"7472";"1265";"14479";"8785";"7461";"1324";"14510";"8734";"7420";"1313";"14537";"8766";"7418";"1347";"14543";"8778";"7498";"1280";"14548";"8808";"7503";"1305";"14594";"8881";"7524";"1358";"14628";"8842";"7504";"1338";"14688";"8863";"7575";"1287";"14743";"8868";"7651";"1216";"14825";"8803";"7526";"1277";"14956";"7897";"6600";"1297";"14994";"7914";"6404";"1510"
"São Paulo";"35160";"22277";"20541";"1736";"35235";"22508";"20814";"1694";"35368";"22612";"21054";"1558";"35433";"22606";"21079";"1527";"35638";"22775";"21017";"1758";"35627";"22991";"21288";"1702";"35692";"23012";"21335";"1677";"35841";"22800";"21317";"1483";"35986";"22801";"21150";"1651";"36241";"23018";"21398";"1620";"36344";"23000";"21340";"1660";"36510";"23231";"21585";"1646";"36645";"23391";"21414";"1977";"36680";"23467";"21357";"2110";"36658";"23460";"21216";"2244";"36756";"23828";"21416";"2412";"36840";"24102";"21218";"2884";"37111";"24305";"21345";"2960";"37048";"24334";"21224";"3110";"37240";"24516";"21474";"3042";"37109";"24864";"21327";"3537";"37327";"24943";"21575";"3368";"37438";"25101";"21778";"3323";"37481";"25042";"21859";"3184";"37400";"25226";"21707";"3519";"37608";"25249";"21806";"3443";"37815";"25439";"22108";"3331";"37970";"25349";"22200";"3149";"38097";"25573";"22125";"3448";"38133";"25789";"22479";"3310";"38153";"25800";"22707";"3093";"38162";"25732";"22779";"2953";"38364";"25360";"22264";"3096";"38696";"23051";"19918";"3133";"39209";"23062";"19578";"3484"
"Paraná";"8605";"5502";"5196";"306";"8661";"5602";"5304";"298";"8682";"5626";"5366";"260";"8745";"5625";"5380";"245";"8783";"5654";"5379";"275";"8767";"5704";"5447";"257";"8805";"5710";"5473";"237";"8815";"5704";"5490";"214";"8818";"5708";"5473";"235";"8890";"5742";"5504";"238";"8934";"5760";"5525";"234";"8970";"5678";"5468";"210";"9005";"5690";"5388";"302";"9003";"5747";"5393";"354";"9028";"5749";"5397";"352";"9050";"5820";"5483";"337";"9100";"5887";"5413";"475";"9140";"5893";"5411";"482";"9155";"5839";"5343";"496";"9204";"5900";"5425";"475";"9239";"5941";"5327";"614";"9233";"5943";"5414";"530";"9278";"5921";"5419";"501";"9295";"5958";"5464";"493";"9287";"5951";"5379";"572";"9306";"5938";"5399";"539";"9337";"5971";"5457";"515";"9355";"5999";"5529";"469";"9341";"6036";"5500";"536";"9350";"6074";"5529";"545";"9375";"6088";"5544";"544";"9374";"6046";"5605";"441";"9397";"6000";"5524";"477";"9542";"5896";"5332";"564";"9614";"5722";"5136";"586"
"Santa Catarina";"5263";"3394";"3254";"140";"5265";"3454";"3326";"128";"5309";"3455";"3345";"110";"5350";"3443";"3351";"92";"5363";"3453";"3328";"125";"5383";"3451";"3333";"118";"5404";"3396";"3300";"95";"5438";"3410";"3324";"86";"5450";"3452";"3346";"106";"5502";"3454";"3358";"96";"5540";"3508";"3407";"102";"5564";"3570";"3474";"95";"5578";"3578";"3439";"139";"5612";"3616";"3475";"141";"5635";"3616";"3458";"157";"5665";"3640";"3488";"152";"5684";"3650";"3432";"218";"5703";"3631";"3389";"242";"5715";"3645";"3413";"232";"5726";"3666";"3440";"226";"5767";"3771";"3474";"297";"5770";"3768";"3485";"283";"5802";"3802";"3545";"256";"5821";"3842";"3598";"244";"5848";"3810";"3561";"249";"5860";"3789";"3544";"245";"5885";"3815";"3580";"236";"5911";"3863";"3618";"246";"5899";"3846";"3568";"277";"5928";"3840";"3608";"231";"5958";"3841";"3619";"222";"5986";"3904";"3695";"209";"6006";"3811";"3595";"215";"6127";"3716";"3458";"257";"6175";"3666";"3423";"242"
"Rio Grande do Sul";"8996";"5699";"5396";"303";"9022";"5744";"5457";"287";"9052";"5698";"5434";"263";"9072";"5755";"5506";"249";"9121";"5838";"5526";"312";"9148";"5836";"5572";"264";"9164";"5896";"5613";"283";"9194";"5910";"5636";"274";"9176";"5887";"5572";"315";"9207";"5853";"5566";"287";"9210";"5846";"5544";"302";"9232";"5858";"5594";"263";"9270";"5958";"5622";"336";"9268";"5918";"5570";"348";"9283";"5922";"5517";"406";"9305";"6028";"5636";"392";"9356";"6046";"5594";"452";"9366";"6041";"5514";"527";"9397";"6031";"5533";"497";"9360";"6055";"5555";"500";"9392";"6091";"5534";"557";"9398";"6057";"5547";"510";"9406";"6078";"5589";"490";"9429";"6067";"5583";"485";"9437";"5975";"5466";"509";"9455";"5921";"5428";"493";"9450";"5944";"5458";"486";"9504";"6023";"5576";"448";"9550";"6068";"5584";"485";"9573";"6136";"5631";"505";"9552";"6109";"5570";"540";"9555";"6169";"5728";"441";"9570";"6083";"5579";"504";"9682";"5675";"5140";"535";"9655";"5548";"4974";"574"
"Mato Grosso do Sul";"1916";"1215";"1124";"91";"1928";"1254";"1166";"88";"1936";"1238";"1177";"61";"1931";"1255";"1193";"62";"1946";"1240";"1180";"59";"1954";"1269";"1206";"63";"1964";"1280";"1223";"56";"1962";"1271";"1214";"57";"1976";"1259";"1200";"59";"1983";"1283";"1232";"50";"2003";"1290";"1238";"52";"2007";"1298";"1249";"49";"2028";"1305";"1225";"80";"2027";"1305";"1224";"81";"2026";"1324";"1241";"83";"2036";"1328";"1249";"79";"2061";"1334";"1231";"104";"2073";"1361";"1266";"95";"2092";"1358";"1254";"104";"2105";"1376";"1264";"112";"2099";"1371";"1237";"134";"2109";"1384";"1261";"123";"2106";"1368";"1260";"108";"2121";"1389";"1288";"101";"2132";"1403";"1284";"119";"2123";"1403";"1297";"106";"2126";"1432";"1329";"103";"2155";"1435";"1335";"100";"2149";"1427";"1291";"135";"2145";"1455";"1335";"120";"2158";"1431";"1323";"108";"2177";"1422";"1329";"93";"2179";"1399";"1292";"107";"2191";"1315";"1165";"150";"2209";"1321";"1169";"153"
"Mato Grosso";"2414";"1563";"1460";"103";"2437";"1573";"1483";"90";"2450";"1574";"1494";"80";"2460";"1583";"1509";"73";"2484";"1609";"1516";"92";"2485";"1619";"1546";"73";"2491";"1638";"1575";"63";"2522";"1622";"1562";"60";"2532";"1643";"1571";"72";"2545";"1650";"1585";"65";"2535";"1656";"1594";"62";"2545";"1647";"1581";"65";"2561";"1672";"1577";"95";"2538";"1648";"1547";"102";"2543";"1627";"1520";"108";"2565";"1644";"1551";"93";"2586";"1652";"1502";"150";"2607";"1700";"1533";"167";"2613";"1672";"1522";"150";"2629";"1694";"1533";"161";"2646";"1668";"1493";"175";"2630";"1676";"1532";"144";"2665";"1730";"1568";"162";"2674";"1715";"1589";"126";"2691";"1724";"1564";"160";"2708";"1753";"1604";"149";"2719";"1768";"1649";"119";"2703";"1785";"1662";"123";"2721";"1813";"1648";"165";"2713";"1847";"1695";"153";"2716";"1845";"1698";"148";"2714";"1808";"1693";"116";"2739";"1835";"1679";"156";"2772";"1773";"1592";"181";"2798";"1779";"1602";"176"
"Goiás";"4926";"3206";"3004";"202";"4981";"3260";"3090";"170";"4972";"3225";"3067";"159";"5033";"3241";"3076";"165";"5043";"3297";"3074";"223";"5059";"3267";"3080";"187";"5092";"3292";"3122";"170";"5137";"3305";"3174";"131";"5127";"3309";"3121";"188";"5148";"3349";"3169";"181";"5181";"3361";"3188";"173";"5225";"3416";"3244";"172";"5258";"3418";"3180";"238";"5274";"3456";"3203";"254";"5318";"3442";"3194";"248";"5335";"3455";"3189";"266";"5357";"3485";"3138";"347";"5384";"3546";"3185";"360";"5404";"3478";"3114";"364";"5436";"3552";"3154";"398";"5465";"3560";"3108";"452";"5506";"3651";"3248";"403";"5562";"3701";"3359";"342";"5582";"3653";"3311";"343";"5600";"3650";"3276";"375";"5599";"3650";"3304";"346";"5611";"3650";"3324";"326";"5606";"3659";"3359";"300";"5667";"3724";"3327";"397";"5685";"3741";"3348";"393";"5731";"3821";"3407";"414";"5726";"3802";"3406";"396";"5748";"3735";"3311";"423";"5819";"3480";"3034";"446";"5878";"3500";"3038";"461"
